end_date,filename,start_date
2008-02-09,M20080342008040.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-02-03
2008-08-02,M20082092008215.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-07-27
2018-11-10,L20183082018314.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-11-04
2019-07-13,L20191882019194.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-07-07
2023-03-18,L20230712023077.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-03-12
2018-06-16,L20181612018167.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-06-10
2020-07-04,L20201802020186.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-06-28
2017-03-11,L20170642017070.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-03-05
2011-07-16,M20111912011197.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-07-10
2018-08-18,L20182242018230.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-08-12
2010-04-24,M20101082010114.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-04-18
2011-03-19,M20110722011078.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-03-13
2022-05-21,L20221352022141.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-05-15
2020-12-12,L20203412020347.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-12-06
2019-06-08,L20191532019159.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-06-02
2010-12-25,M20103532010359.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-12-19
2023-01-21,L20230152023021.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-01-15
2010-08-28,M20102342010240.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-08-22
2009-07-11,M20091862009192.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-07-05
2008-02-16,M20080412008047.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-02-10
2009-09-05,M20092422009248.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-08-30
2020-08-22,L20202292020235.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-08-16
2019-12-14,L20193422019348.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-12-08
2009-10-17,M20092842009290.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-10-11
2022-09-24,L20222612022267.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-09-18
2008-07-12,M20081882008194.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-07-06
2022-03-05,L20220582022064.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-02-27
2008-10-11,M20082792008285.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-10-05
2016-09-24,L20162622016268.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-09-18
2016-11-12,L20163112016317.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-11-06
2016-10-29,L20162972016303.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-10-23
2011-05-14,M20111282011134.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-05-08
2012-01-28,M20120222012028.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2012-01-22
2016-12-24,L20163532016359.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-12-18
2011-06-11,M20111562011162.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-06-05
2010-02-06,M20100312010037.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-01-31
